busstop_id,lat,lng
919,-3.831414,-38.564691
920,-3.832722,-38.565251
921,-3.833969,-38.565596
922,-3.834651,-38.565922
923,-3.834319,-38.567058
924,-3.813324,-38.578223
925,-3.719932,-38.566658
926,-3.719925,-38.567443
927,-3.722219,-38.567334
929,-3.721381,-38.564627
930,-3.72116,-38.561913
931,-3.721079,-38.561856
934,-3.721187,-38.559198
936,-3.727419,-38.565994
937,-3.727333,-38.56618
939,-3.72409,-38.566031
941,-3.726047,-38.565322
942,-3.727487,-38.565006
943,-3.726446,-38.561158
944,-3.726749,-38.561294
945,-3.726882,-38.562977
946,-3.726407,-38.562988
947,-3.726874,-38.563651
948,-3.724802,-38.563482
950,-3.726036,-38.558847
951,-3.726259,-38.559448
952,-3.726472,-38.560662
953,-3.722011,-38.554274
954,-3.721824,-38.554701
955,-3.721413,-38.55689
957,-3.722302,-38.55324
958,-3.719435,-38.551129
961,-3.721318,-38.550014
962,-3.720699,-38.547009
963,-3.720481,-38.548162
964,-3.720084,-38.548903
965,-3.718939,-38.546694
966,-3.719579,-38.546841
967,-3.725496,-38.555552
968,-3.725333,-38.555098
969,-3.72336,-38.550677
970,-3.725147,-38.55355
971,-3.724884,-38.552607
975,-3.724586,-38.54837
976,-3.721642,-38.544324
978,-3.721575,-38.54477
979,-3.719954,-38.541347
980,-3.719657,-38.541534
981,-3.721179,-38.541324
982,-3.721402,-38.541743
983,-3.722315,-38.541024
984,-3.722501,-38.541696
985,-3.721272,-38.536142
986,-3.722408,-38.538634
987,-3.724459,-38.544205
988,-3.726787,-38.54044
989,-3.726849,-38.540516
